candidate,segment,n,brier_cal,logloss_cal,mean_pred,actual_wr,gap_pp
baseline_mid,early_7_11,2856,0.12033291110976203,0.38615210844132847,0.5156760190340526,0.5462184873949579,-3.054246836090535
baseline_mid,late_12_15,2194,0.0820402004914759,0.27402159197163517,0.5264544600842709,0.5264357338195077,0.001872626476318029
baseline_mid,par_50_80,498,0.19124817254324664,0.5697049786810263,0.6584304933031964,0.7630522088353414,-10.462171553214505
baseline_mid,late_par_50_80,148,0.18435633741959465,0.553599287017378,0.6288451264563399,0.777027027027027,-14.818190057068703
death_gap_mid,early_7_11,2856,0.12045797684764803,0.3897215180695989,0.5103102121455954,0.5462184873949579,-3.5908275249362576
death_gap_mid,late_12_15,2194,0.08316201082673151,0.27618904188164134,0.5235441171571776,0.5264357338195077,-0.28916166623300654
death_gap_mid,par_50_80,508,0.18463483538693318,0.5555303318458862,0.6613731640324776,0.7775590551181102,-11.61858910856326
death_gap_mid,late_par_50_80,141,0.16317636019059786,0.5078103171576179,0.6461501169074853,0.8226950354609929,-17.654491855350763
v7_gap_mid,early_7_11,2856,0.12079039364767634,0.3891065276485664,0.5142827494489607,0.5462184873949579,-3.1935737945997245
v7_gap_mid,late_12_15,2194,0.08458966989135752,0.28119698158688267,0.531013317559541,0.5264357338195077,0.4577583740033253
v7_gap_mid,par_50_80,498,0.20030934567559275,0.5892568538472872,0.6512041752479747,0.7530120481927711,-10.180787294479643
v7_gap_mid,late_par_50_80,164,0.19208727298098768,0.5702707771968089,0.6324423300578864,0.7621951219512195,-12.97527918933331
death_plus_v7_gap_mid,early_7_11,2856,0.11984053653471792,0.38978129920635435,0.5108396991135244,0.5462184873949579,-3.537878828143348
death_plus_v7_gap_mid,late_12_15,2194,0.08402936904314817,0.2800649682649839,0.5314265309015394,0.5264357338195077,0.49907970820316505
death_plus_v7_gap_mid,par_50_80,530,0.1813272778813167,0.547836436143052,0.6598516585123906,0.7830188679245284,-12.316720941213777
death_plus_v7_gap_mid,late_par_50_80,148,0.16668566935157897,0.5143406060563954,0.6380142338754209,0.7972972972972973,-15.928306342187637
