candidate,segment,n,brier_cal,logloss_cal,mean_pred,actual_wr,gap_pp
baseline_mid,early_7_11,2856,0.12033291110976203,0.38615210844132847,0.5156760190340526,0.5462184873949579,-3.054246836090535
baseline_mid,late_12_15,2194,0.0820402004914759,0.27402159197163517,0.5264544600842709,0.5264357338195077,0.001872626476318029
baseline_mid,par_50_80,498,0.19124817254324664,0.5697049786810263,0.6584304933031964,0.7630522088353414,-10.462171553214505
baseline_mid,late_par_50_80,148,0.18435633741959465,0.553599287017378,0.6288451264563399,0.777027027027027,-14.818190057068703
terminal_mid,early_7_11,2856,0.1200745936692482,0.3866008598805804,0.5134008625645554,0.5462184873949579,-3.2817624830402514
terminal_mid,late_12_15,2194,0.08314588701452166,0.2764106773250866,0.527921077155602,0.5264357338195077,0.14853433360942914
terminal_mid,par_50_80,489,0.1906911589184557,0.5690035533271657,0.6575951187152033,0.7648261758691206,-10.723105715391734
terminal_mid,late_par_50_80,138,0.1818831362322484,0.5481766246127014,0.6298511222756692,0.7753623188405797,-14.551119656491052
interaction_mid,early_7_11,2856,0.1214570625065432,0.3893354107441278,0.5114911399552624,0.5462184873949579,-3.472734743969552
interaction_mid,late_12_15,2194,0.08421508152208723,0.27895198019376066,0.5243317299645084,0.5264357338195077,-0.21040038549993145
interaction_mid,par_50_80,485,0.18943772083304675,0.5663258811204379,0.6603218762049601,0.7608247422680412,-10.050286606308113
interaction_mid,late_par_50_80,127,0.1799677035398354,0.5444397469662025,0.6373900226844694,0.7716535433070866,-13.426352062261715
terminal_interaction_mid,early_7_11,2856,0.12091262065905084,0.38832952900735024,0.5111556013483342,0.5462184873949579,-3.5062886046623776
terminal_interaction_mid,late_12_15,2194,0.0833904141752295,0.27710587910081363,0.5253524813103859,0.5264357338195077,-0.10832525091217793
terminal_interaction_mid,par_50_80,506,0.18720677348738227,0.5617794441724425,0.6580996253383449,0.7727272727272727,-11.462764738892783
terminal_interaction_mid,late_par_50_80,133,0.1814419793245504,0.5487858350085035,0.6271192234586496,0.7819548872180451,-15.48356637593955
